Date,Open,High,Low ,Close,Adj. Close,Volume
"Sep 28, 2023","26,280.00","27,370.00","26,280.00","27,120.00","27,120.00","10,622"
"Sep 27, 2023","26,150.00","26,890.00","26,080.00","26,250.00","26,250.00","12,318"
"Sep 26, 2023","26,300.00","26,430.00","26,090.00","26,245.00","26,245.00","8,234"
"Sep 25, 2023","26,545.00","26,545.00","25,985.00","26,355.00","26,355.00","9,696"
"Sep 22, 2023","26,600.00","26,815.00","26,525.00","26,545.00","26,545.00","3,757"
"Sep 21, 2023","27,165.00","27,230.00","26,380.00","26,635.00","26,635.00","6,747"
"Sep 20, 2023","27,225.00","27,455.00","26,845.00","26,990.00","26,990.00","5,569"
"Sep 19, 2023","26,885.00","27,620.00","26,715.00","27,270.00","27,270.00","8,349"
"Sep 18, 2023","26,560.00","27,550.00","26,425.00","26,885.00","26,885.00","10,480"
"Sep 15, 2023","26,635.00","26,780.00","26,265.00","26,475.00","26,475.00","3,990"
"Sep 14, 2023","26,330.00","26,955.00","26,215.00","26,765.00","26,765.00","5,968"
"Sep 13, 2023","26,180.00","26,520.00","25,845.00","26,205.00","26,205.00","5,247"
"Sep 12, 2023","25,140.00","26,685.00","25,100.00","26,125.00","26,125.00","11,268"
"Sep 11, 2023","25,930.00","26,120.00","24,925.00","25,030.00","25,030.00","8,627"
"Sep 8, 2023","26,210.00","26,560.00","25,690.00","26,005.00","26,005.00","6,232"
"Sep 7, 2023","25,795.00","26,090.00","25,630.00","25,980.00","25,980.00","3,776"
"Sep 6, 2023","25,795.00","26,140.00","25,335.00","25,705.00","25,705.00","5,237"
"Sep 5, 2023","25,985.00","26,170.00","25,580.00","25,735.00","25,735.00","4,758"
"Sep 1, 2023","26,070.00","26,225.00","25,400.00","25,700.00","25,700.00","6,918"
"Aug 31, 2023","27,385.00","27,705.00","26,010.00","26,240.00","26,240.00","10,310"
"Aug 30, 2023","27,875.00","27,970.00","27,130.00","27,260.00","27,260.00","7,293"
"Aug 29, 2023","26,075.00","28,335.00","25,980.00","28,010.00","28,010.00","19,905"
"Aug 28, 2023","26,210.00","26,360.00","25,930.00","26,090.00","26,090.00","3,315"
"Aug 25, 2023","26,070.00","26,190.00","25,945.00","26,003.36","26,003.36","5,998"
"Aug 24, 2023","26,300.00","26,560.00","25,805.00","25,995.00","25,995.00","8,638"
"Aug 23, 2023","25,595.00","26,810.00","25,585.00","26,640.00","26,640.00","12,134"
"Aug 22, 2023","26,160.00","26,165.00","25,690.00","25,730.00","25,730.00","7,666"
"Aug 21, 2023","26,195.00","26,220.00","25,795.00","26,065.00","26,065.00","7,374"
"Aug 18, 2023","26,475.00","27,005.00","25,600.00","26,020.00","26,020.00","11,658"
"Aug 17, 2023","28,955.00","28,990.00","27,485.00","27,850.00","27,850.00","14,274"
"Aug 16, 2023","29,255.00","29,305.00","28,855.00","29,130.00","29,130.00","5,150"
"Aug 15, 2023","29,460.00","29,595.00","29,115.00","29,225.00","29,225.00","4,356"
"Aug 14, 2023","29,450.00","29,810.00","29,095.00","29,395.00","29,395.00","7,834"
"Aug 11, 2023","29,560.00","29,680.00","29,310.00","29,465.00","29,465.00","4,910"
"Aug 10, 2023","29,635.00","29,855.00","29,390.00","29,495.00","29,495.00","4,119"
"Aug 9, 2023","30,065.00","30,275.00","29,460.00","29,510.00","29,510.00","7,172"
"Aug 8, 2023","29,320.00","30,260.00","29,235.00","30,075.00","30,075.00","10,861"
"Aug 7, 2023","29,125.00","29,315.00","28,720.00","29,255.00","29,255.00","6,493"
"Aug 4, 2023","29,400.00","29,490.00","28,860.00","29,090.00","29,090.00","5,362"
"Aug 3, 2023","29,285.00","29,600.00","29,060.00","29,410.00","29,410.00","4,673"
"Aug 2, 2023","29,385.00","30,245.00","28,980.00","29,280.00","29,280.00","10,812"
"Aug 1, 2023","29,400.00","29,520.00","28,625.00","29,440.00","29,440.00","10,567"
"Jul 31, 2023","29,390.00","29,760.00","29,255.00","29,285.00","29,285.00","5,498"
"Jul 28, 2023","29,200.00","29,420.00","29,080.00","29,397.08","29,397.08","6,829"
"Jul 27, 2023","29,505.00","29,575.00","29,035.00","29,115.00","29,115.00","8,850"
"Jul 26, 2023","29,240.00","29,690.00","29,075.00","29,395.00","29,395.00","8,174"
"Jul 25, 2023","29,145.00","29,390.00","29,055.00","29,180.00","29,180.00","8,133"
"Jul 24, 2023","29,960.00","30,135.00","28,810.00","29,105.00","29,105.00","13,190"
"Jul 21, 2023","29,920.00","30,120.00","29,735.00","29,885.00","29,885.00","5,304"
"Jul 20, 2023","29,955.00","30,515.00","29,560.00","29,765.00","29,765.00","9,406"
"Jul 19, 2023","29,810.00","30,275.00","29,775.00","30,105.00","30,105.00","5,138"
"Jul 18, 2023","30,335.00","30,355.00","29,535.00","29,785.00","29,785.00","5,773"
"Jul 17, 2023","30,415.00","30,495.00","29,740.00","29,990.00","29,990.00","6,236"
"Jul 14, 2023","31,515.00","31,910.00","30,025.00","30,235.00","30,235.00","11,611"
"Jul 13, 2023","30,460.00","32,165.00","30,360.00","31,925.00","31,925.00","14,992"
"Jul 12, 2023","30,705.00","31,190.00","30,325.00","30,395.00","30,395.00","10,377"
"Jul 11, 2023","30,700.00","31,000.00","30,305.00","30,755.00","30,755.00","6,161"
"Jul 10, 2023","30,290.00","31,260.00","30,075.00","31,055.00","31,055.00","5,866"
"Jul 7, 2023","30,370.00","30,685.00","29,875.00","30,370.00","30,370.00","6,541"
"Jul 6, 2023","30,705.00","31,860.00","30,060.00","30,510.00","30,510.00","11,172"
"Jul 5, 2023","31,480.00","31,725.00","30,420.00","30,675.00","30,675.00","9,567"
"Jul 3, 2023","30,850.00","31,835.00","30,735.00","31,700.00","31,700.00","6,603"
"Jun 30, 2023","30,395.00","31,255.00","29,625.00","30,128.51","30,128.51","19,808"
"Jun 29, 2023","30,170.00","30,870.00","30,055.00","30,550.00","30,550.00","11,871"
"Jun 28, 2023","30,785.00","30,785.00","29,870.00","30,110.00","30,110.00","11,519"
